primary_artist,primary_artist_id,featured_artist,featured_artist_id,track,track_id,unique_id
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Nikki Lane,2kWeFaiHBskk8oqky3KHcR,Breaking Up Slowly,1hn1kCOG5dm1XgZYKpfaLR,00FQb4jTyendYWaN8pK0wa2kWeFaiHBskk8oqky3KHcR
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Zella Day,100sLnojEpcadRx4edEBA6,For Free,2lhfd0CF0dFlwRVH8NG8vv,00FQb4jTyendYWaN8pK0wa100sLnojEpcadRx4edEBA6
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,For Free,2lhfd0CF0dFlwRVH8NG8vv,00FQb4jTyendYWaN8pK0wa3Uqu1mEdkUJxPe7s31n1M9
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Lust For Life (with The Weeknd),0mt02gJ425Xjm7c3jYkOBn|2KzCkzW1nt8qGHjYoTWGlc|2Q4LPFmpHNY8c8gEkaM9yy,00FQb4jTyendYWaN8pK0wa1Xyo4u8uXC1ZmMpatF05PJ
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Groupie Love (feat. A$AP Rocky)|Summer Bummer (feat. A$AP Rocky & Playboi Carti),03hqMhmCZiNKMSPmVabPLP|2LYIQ9DuoE92bTfXDOwRiM|5QqyRUZeBE04yJxsD1OC0I|64evf7xlmc13iP0H9hyrGT|6O74yAkEOqHwANjB7dzG3m|7r4WGWPmPIXcSvrlyvZVVT,00FQb4jTyendYWaN8pK0wa13ubrt8QOOCPljQ2FL1Kca
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,Summer Bummer (feat. A$AP Rocky & Playboi Carti),5QqyRUZeBE04yJxsD1OC0I|64evf7xlmc13iP0H9hyrGT|7r4WGWPmPIXcSvrlyvZVVT,00FQb4jTyendYWaN8pK0wa699OTQXzgjhIYAHMy9RyPD
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,Beautiful People Beautiful Problems (feat. Stevie Nicks),3O7p9Itz8PXUoAjD2vmuM6|4iY8WGhLnMyLMizMgCrYt4|6PAuMqpTWCnmdXFUz3Wv3U,00FQb4jTyendYWaN8pK0wa7crPfGd2k81ekOoSqQKWWz
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Sean Ono Lennon,5JUYSPkis2Mk6HUbmMqk1m,Tomorrow Never Came (feat. Sean Ono Lennon),4CRTbP2tKouuXkgObk3IjN|52SNp2FahuLpZSbE84eUDn|6VZwnDUMkAZs36g6v9MVQX,00FQb4jTyendYWaN8pK0wa5JUYSPkis2Mk6HUbmMqk1m
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Photek,3LEJCwzE1MAryYfOUoPMGI,Ride - Photek Remix,1dSzy5TN2mpbNuLNhLMoXW,00FQb4jTyendYWaN8pK0wa3LEJCwzE1MAryYfOUoPMGI
Zella Day,100sLnojEpcadRx4edEBA6,Baby E,3AhRH2q3GOnk8r1ZPHBnRM,Mustang Kids,3UVuhaEDEr7RbLGX1jHrXC|7s4K4mbgnsRQ3y5u0qdq1g,100sLnojEpcadRx4edEBA63AhRH2q3GOnk8r1ZPHBnRM
Zella Day,100sLnojEpcadRx4edEBA6,Twin Shadow,6fLrPFLWLSCrp7gcTZXcKb,Golden - Twin Shadow Remix,6aIFY0XEfKOPkcHsva1WOt,100sLnojEpcadRx4edEBA66fLrPFLWLSCrp7gcTZXcKb
Zella Day,100sLnojEpcadRx4edEBA6,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,Holocene [feat. Weyes Blood],0zbc8UgOfYyG96pAWjx3hH,100sLnojEpcadRx4edEBA63Uqu1mEdkUJxPe7s31n1M9
Zella Day,100sLnojEpcadRx4edEBA6,Sting,0Ty63ceoRnnJKVEYP0VQpk,If It's Love,0EkmuSHjVKdGpdBiTlblle,100sLnojEpcadRx4edEBA60Ty63ceoRnnJKVEYP0VQpk
Zella Day,100sLnojEpcadRx4edEBA6,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,Light - Edit,0haRJ6Sf5UYY9b235lIlM3,100sLnojEpcadRx4edEBA60bzfPKdbXL5ezYW2z3UGQj
Zella Day,100sLnojEpcadRx4edEBA6,ABBA,0LcJLqbBmaGUft1e9Mm8HV,Don't Shut Me Down,108dicV6xbw7Y0xiE3YRgE,100sLnojEpcadRx4edEBA60LcJLqbBmaGUft1e9Mm8HV
Zella Day,100sLnojEpcadRx4edEBA6,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Light Of Love,3PDkw93YH43VwR5irnYfWJ,100sLnojEpcadRx4edEBA61moxjboGR7GNWYIMWsRjgG
Zella Day,100sLnojEpcadRx4edEBA6,Gregory Porter,06nevPmNVfWUXyZkccahL8,Concorde,3r1Bb82Bab10YPFXv9IQGv,100sLnojEpcadRx4edEBA606nevPmNVfWUXyZkccahL8
Zella Day,100sLnojEpcadRx4edEBA6,Jon Batiste,0eRbECAGCLLiTyVXPBRexU,I NEED YOU,0tiDRTB5sNKTzgboggTkaZ,100sLnojEpcadRx4edEBA60eRbECAGCLLiTyVXPBRexU
Zella Day,100sLnojEpcadRx4edEBA6,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Cool Out,692AQ5H4PiSJjLVUxB4Bqs,100sLnojEpcadRx4edEBA653XhwfbYqKCa1cC15pYq2q
Zella Day,100sLnojEpcadRx4edEBA6,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Doin' Time,0aBpGnwPGODZqVqz1oGac6,100sLnojEpcadRx4edEBA600FQb4jTyendYWaN8pK0wa
Zella Day,100sLnojEpcadRx4edEBA6,Nathaniel Rateliff & The Night Sweats,02seUFsFQP7TH4hLrTj77o,You Worry Me,5hxSSzBBQ1Mwfzkwu0sR0z,100sLnojEpcadRx4edEBA602seUFsFQP7TH4hLrTj77o
Zella Day,100sLnojEpcadRx4edEBA6,Barry Gibb,7Hd38PVp634oGEb9pIDs5d,Too Much Heaven,1Yh65ApRQEI1itBMHUP2rx,100sLnojEpcadRx4edEBA67Hd38PVp634oGEb9pIDs5d
Zella Day,100sLnojEpcadRx4edEBA6,Alison Krauss,5J6L7N6B4nI1M5cwa29mQG,Too Much Heaven,1Yh65ApRQEI1itBMHUP2rx,100sLnojEpcadRx4edEBA65J6L7N6B4nI1M5cwa29mQG
Zella Day,100sLnojEpcadRx4edEBA6,Diana Ross,3MdG05syQeRYPPcClLaUGl,Thank You,71MSxeZAa3casz2tIM5aAE,100sLnojEpcadRx4edEBA63MdG05syQeRYPPcClLaUGl
Zella Day,100sLnojEpcadRx4edEBA6,Logan Ledger,4KcXOZaofRdvBDl0b8LOYM,Starlight,1ZPnkK10HP4fymNnrIZo30,100sLnojEpcadRx4edEBA64KcXOZaofRdvBDl0b8LOYM
Zella Day,100sLnojEpcadRx4edEBA6,Sam Smith,2wY79sveU1sp5g7SokKOiI,Like I Can,0jRmgEgbSvvy8vo9AFlWCU|4IJi3LnAjenqDh9HB1GS7R,100sLnojEpcadRx4edEBA62wY79sveU1sp5g7SokKOiI
Zella Day,100sLnojEpcadRx4edEBA6,The Revivalists,5kuJibJcwOC53s3OkoGMRA,Keep Going,5BKu5MziIEIvz7KXbBOQhd,100sLnojEpcadRx4edEBA65kuJibJcwOC53s3OkoGMRA
Zella Day,100sLnojEpcadRx4edEBA6,Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,comethru|you were good to me,0rxn0H0Y2nQoBVeWVgShoV|6yaD1QYBGSG3mHQloeWwxA,100sLnojEpcadRx4edEBA63gIRvgZssIb9aiirIg0nI3
Zella Day,100sLnojEpcadRx4edEBA6,Grace Potter,1PJVVIeS5Wu0wbZDhtC0Ht,Empty Heart,7DwRHaFm6GJ1kUMqihor4I,100sLnojEpcadRx4edEBA61PJVVIeS5Wu0wbZDhtC0Ht
Zella Day,100sLnojEpcadRx4edEBA6,Kacey Musgraves,70kkdajctXSbqSMJbQO424,High Horse,3DDgjJrcjOD63yUdocRTw2,100sLnojEpcadRx4edEBA670kkdajctXSbqSMJbQO424
Zella Day,100sLnojEpcadRx4edEBA6,Pokey LaFarge,6hAUCkzZpoYGObd8qFW5TT,Something In The Water,048gYjpPcqYSO1mllDdsFd,100sLnojEpcadRx4edEBA66hAUCkzZpoYGObd8qFW5TT
Zella Day,100sLnojEpcadRx4edEBA6,Ruen Brothers,0CBu2ZuF5503TaauGVk1Go,Summer Sun,4R2uWwXl8mP14z6lH7oS3N,100sLnojEpcadRx4edEBA60CBu2ZuF5503TaauGVk1Go
Zella Day,100sLnojEpcadRx4edEBA6,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,"jealousy, jealousy",5ejvV5YJiYpDwEJ7UrniDY,100sLnojEpcadRx4edEBA61McMsnEElThX1knmY4oliG
Zella Day,100sLnojEpcadRx4edEBA6,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,7C4NplVIJDFBqBpLx92ZlJ,100sLnojEpcadRx4edEBA67gOdHgIoIKoe4i9Tta6qdD
Zella Day,100sLnojEpcadRx4edEBA6,Taylor Swift,06HL4z0CvFAxyc27GXpf02,You Belong With Me (Taylor’s Version),3ag500eJAQpYevhry1mBBO,100sLnojEpcadRx4edEBA606HL4z0CvFAxyc27GXpf02
Zella Day,100sLnojEpcadRx4edEBA6,MIKA,5MmVJVhhYKQ86izuGHzJYA,Grace Kelly,33LIST8NIBiJMbCReqcbfD,100sLnojEpcadRx4edEBA65MmVJVhhYKQ86izuGHzJYA
Zella Day,100sLnojEpcadRx4edEBA6,The Vamps,7gAppWoH7pcYmphCVTXkzs,Would You,7CgwVP1j0kybhfg6qpzTI3,100sLnojEpcadRx4edEBA67gAppWoH7pcYmphCVTXkzs
Zella Day,100sLnojEpcadRx4edEBA6,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Love Again,0FiHXRebGmPtW79PMoIlCK,100sLnojEpcadRx4edEBA66sFIWsNpZYqfjUpaCgueju
Zella Day,100sLnojEpcadRx4edEBA6,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,Wishful Thinking,16otzU3kajFmDoAQvkVxgN,100sLnojEpcadRx4edEBA60Cp8WN4V8Tu4QJQwCN5Md4
Zella Day,100sLnojEpcadRx4edEBA6,Katy Perry,6jJ0s89eD6GaHleKKya26X,Harleys In Hawaii,0QGJPC1YAIwBO6ZhAOfrm0,100sLnojEpcadRx4edEBA66jJ0s89eD6GaHleKKya26X
Zella Day,100sLnojEpcadRx4edEBA6,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,telepatía,7GM1zW3o3BVPmbGTSP70Wp,100sLnojEpcadRx4edEBA61U1el3k54VvEUzo3ybLPlM
Zella Day,100sLnojEpcadRx4edEBA6,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Bored|Happier Than Ever,0iVLCLebpK2karRylxTTv3|2IAekExpaV6a3kEObdpBOl,100sLnojEpcadRx4edEBA66qqNVTkY8uBg9cP3Jd7DAH
Zella Day,100sLnojEpcadRx4edEBA6,Chelsea Cutler,5JMLG56F1X5mFmWNmS0iAp,you were good to me,0rxn0H0Y2nQoBVeWVgShoV,100sLnojEpcadRx4edEBA65JMLG56F1X5mFmWNmS0iAp
Zella Day,100sLnojEpcadRx4edEBA6,Daisy the Great,0SrIPejckovMwhrN3MZFPB,Record Player,2l8Hv8WTY4RvjuMrtYEdgn,100sLnojEpcadRx4edEBA60SrIPejckovMwhrN3MZFPB
Zella Day,100sLnojEpcadRx4edEBA6,AJR,6s22t5Y3prQHyaHWUN1R1C,Record Player,2l8Hv8WTY4RvjuMrtYEdgn,100sLnojEpcadRx4edEBA66s22t5Y3prQHyaHWUN1R1C
Zella Day,100sLnojEpcadRx4edEBA6,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,The Cut That Always Bleeds,7paLP8oboltVZlAP8Mb2FA,100sLnojEpcadRx4edEBA64Uc8Dsxct0oMqx0P6i60ea
Zella Day,100sLnojEpcadRx4edEBA6,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,Supercollide,21LcBxgwByMZd60B8KVMq9,100sLnojEpcadRx4edEBA64qWnlmXWuGv2TtuxtIWlJX
Zella Day,100sLnojEpcadRx4edEBA6,Surfaces,4ETSs924pXMzjIeD6E9b4u,Heaven Falls / Fall On Me,6qUxQDAwclremtc4MxL64v,100sLnojEpcadRx4edEBA64ETSs924pXMzjIeD6E9b4u
Zella Day,100sLnojEpcadRx4edEBA6,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,10/10,6XIWz5cPujjYBCrUjSD1LE,100sLnojEpcadRx4edEBA63WGpXCj9YhhfX11TToZcXP
Zella Day,100sLnojEpcadRx4edEBA6,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,Helium,0igcwZedxThCnwiuU67gVh,100sLnojEpcadRx4edEBA64yvcSjfu4PC0CYQyLy4wSq
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,Brand New Guy (feat. ScHoolboy Q)|Electric Body (feat. ScHoolboy Q)|PMW (All I Really Need) (feat. ScHoolboy Q),2U7oXAJLPFNtAGYFYFLI7x|4X3Y9DhAiTZ6zT6wwwFaId|5oeKoJMi9g6GXEbtz1ta0f|6br4Pc0BzU6dTD5fEmks2i|6haTrice1PU59Kd7esp3w1|6kW1T715B5bwH7YZxT1BMI,13ubrt8QOOCPljQ2FL1Kca5IcR3N7QB1j6KBL8eImZ8m
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Fat Tony,3N71zVVdCs6uCgk8w31v26,Get Lit (feat. Fat Tony),4nzmPINOWf5sdKNrTjcM3z,13ubrt8QOOCPljQ2FL1Kca3N71zVVdCs6uCgk8w31v26
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,A$AP NAST,1uLYUm2A6kpFYAECfAFoH1,Trilla (feat. A$AP Nast & A$AP Twelvyy),3DtOW3gzNTy5SgLWhwOdFW,13ubrt8QOOCPljQ2FL1Kca1uLYUm2A6kpFYAECfAFoH1
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,A$AP Twelvyy,0tPjSrb43a58uznKru1k2P,Trilla (feat. A$AP Nast & A$AP Twelvyy),3DtOW3gzNTy5SgLWhwOdFW,13ubrt8QOOCPljQ2FL1Kca0tPjSrb43a58uznKru1k2P
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Chace Infinite,4jzvaIdQqLBp0wW2ZYkFAu,Keep It G (feat. Chace Infinite & SpaceGhostPurrp),7kOsXY7jOOoa5hla5KcRAY,13ubrt8QOOCPljQ2FL1Kca4jzvaIdQqLBp0wW2ZYkFAu
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,SpaceGhostPurrp,6yR6M6V6I7GhhYf6A7Wif9,Keep It G (feat. Chace Infinite & SpaceGhostPurrp),7kOsXY7jOOoa5hla5KcRAY,13ubrt8QOOCPljQ2FL1Kca6yR6M6V6I7GhhYf6A7Wif9
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Main Attrakionz,3jdktm1PgLu9u3tS1YUKrW,Leaf (feat. Main Attrakionz),1StRJBkcyMbf07b5TQRwYM,13ubrt8QOOCPljQ2FL1Kca3jdktm1PgLu9u3tS1YUKrW
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Moby,3OsRAKCvk37zwYcnzRf5XF,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",0TfK37EQXM15a5SEbgw179|3oHkMCVJyOcjg5FhfLc2Rq,13ubrt8QOOCPljQ2FL1Kca3OsRAKCvk37zwYcnzRf5XF
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,T.I.,4OBJLual30L7gRl5UkeRcT,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",0TfK37EQXM15a5SEbgw179|3oHkMCVJyOcjg5FhfLc2Rq,13ubrt8QOOCPljQ2FL1Kca4OBJLual30L7gRl5UkeRcT
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",0TfK37EQXM15a5SEbgw179|3oHkMCVJyOcjg5FhfLc2Rq,13ubrt8QOOCPljQ2FL1Kca0fA0VVWsXO9YnASrzqfmYu
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,F**k Sleep (feat. FKA twigs)|Fukk Sleep (feat. FKA twigs),1AqemxWsT0iGg5Lvkm16Bt|3MiFeuUW7keNpoSGDcJlAz,13ubrt8QOOCPljQ2FL1Kca6nB0iY1cjSY1KyhYyuIIKH
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Skepta,2p1fiYHYiXz9qi0JJyxBzN,Praise The Lord (Da Shine) (feat. Skepta),6gKXeygYSatXEo9C1pIZFp|7ycWLEP1GsNjVvcjawXz3z,13ubrt8QOOCPljQ2FL1Kca2p1fiYHYiXz9qi0JJyxBzN
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,CALLDROPS (feat. Kodak Black),1wGYcpJZ59rePkNu4zHmLu|5qP4150e8iD1avKD3RLJzD,13ubrt8QOOCPljQ2FL1Kca46SHBwWsqBkxI7EeeBEQG7
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Juicy J,5gCRApTajqwbnHHPbr2Fpi,Gunz N Butter (feat. Juicy J)|Multiply (feat. Juicy J)|Wavybone (feat. Juicy J & UGK),0DknII9CrtEehLjFpO4c2R|1Y367QTFBp28NON0iaegIX|3QMhEsjvG0cpHcvJJCkrV2|5N521RK66Z1FP0Oz6B4OlT|5cYZm4KeDKM8Pw8z5XRKJt|7j9Xcu1KvpiVfsrjqD6wZn,13ubrt8QOOCPljQ2FL1Kca5gCRApTajqwbnHHPbr2Fpi
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,French Montana,6vXTefBL93Dj5IqAWq6OTv,Brotha Man (feat. French Montana),3eBVfEGhsRSNooUIDF4eAT|6MmtDonkpvSoRx9ACwrGDu,13ubrt8QOOCPljQ2FL1Kca6vXTefBL93Dj5IqAWq6OTv
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Purity (feat. Frank Ocean),2MF4HtZHBoUliOi9nOAbS0|3ptdtaRrzO0jMHo1xw9Re3,13ubrt8QOOCPljQ2FL1Kca2h93pZq0e7k5yf4dywlkpM
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Joe Fox,2Dbnk0YRTPpKu46XzMf9nu,"Fine Whine (feat. Joe Fox, Future & M.I.A.)|Holy Ghost (feat. Joe Fox)|Jukebox Joints (feat. Joe Fox & Kanye West)|Max B (feat. Joe Fox)|Pharsyde (feat. Joe Fox)",08JibFRmq1lfZa55ihffCj|1eoJUx8vvEiPDfk43C1n7L|2WxzLbJfPA2vJGxQiKd7Jq|2gAGWaK4wvt2xrFUlR4mK8|34BMAuAAB1Eh8TvYWLbMHD|36D29kRoSw04hnFUTPlO9i|3VfDelUlMwIQtq3MYJ2Hpi|3nUzLfcuq7oXW0OsBAuCVP|4wuOxtRDeD9YiQOcmgay7e|5OqMyn064ZbaeP0pZZvrWB|5ZChh6X2RIvMBuiNvLtDQV|68m4uJn7CqxzwjHXDmRTLO|6AHNkRbVzkh95xilnYzDT7|6J9FgTr3z44Bw6ABeVL415|7MTy5lZTVP7tQvzSps0C5l,13ubrt8QOOCPljQ2FL1Kca2Dbnk0YRTPpKu46XzMf9nu
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,BONES,5v2WhpA59TJSdPh7LCx1lN,Canal St. (feat. Bones),00aF5EEoXdJreaknTVBoSI|0rBMP6VVGRgwnzZCLpijyl|2ioVOy4F66Vp2GNEOPUN36,13ubrt8QOOCPljQ2FL1Kca5v2WhpA59TJSdPh7LCx1lN
